timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-1017253,546646,465154,-2712414,-329363,672110,864479,-272720
66,-956787,514420,437795,-2551975,-312190,632159,813017,-256015
66,-901553,484187,412204,-2400803,-293028,594490,764905,-240821
66,-845886,454941,387821,-2260445,-273014,563998,720451,-227179
66,-796272,428259,364896,-2126329,-256929,529228,677810,-213685
66,-750493,403641,343396,-1999562,-242174,493988,637270,-201003
66,-705841,379873,321577,-1882467,-228682,466764,599903,-189412
66,-663097,357779,302830,-1770860,-215213,437703,564253,-177991
66,-624382,337637,285341,-1664990,-202035,408549,530765,-167816
114,-587922,319194,271363,-1563315,-191506,368568,497627,-157120
114,-554607,300063,254860,-1471565,-180410,349006,468405,-147909
114,-521075,278421,237423,-1389427,-166030,350285,442941,-139866
114,-489626,262148,223514,-1306974,-156127,328561,416755,-131547
114,-459943,247906,210204,-1229209,-149164,306646,391703,-124687
114,-432672,233491,197822,-1156194,-140498,287404,368451,-117273
114,-408859,216783,185281,-1090940,-133549,278414,347054,-110245
114,-384960,202861,173335,-1026718,-125311,266158,326946,-103959
114,-362067,191851,163251,-964252,-118106,244837,307319,-97674
114,-338845,182563,156077,-906043,-107479,226410,289122,-92146
163,-318550,173990,144017,-851028,-106118,202315,271031,-86578
163,-300606,161349,133163,-803835,-98976,203071,256097,-81885
163,-283847,154435,131469,-750989,-92318,171350,239104,-75631
163,-265863,145287,123615,-706739,-86926,161665,224934,-71067
163,-250652,134403,114947,-669320,-80097,172095,213602,-68709
163,-234856,125959,108506,-629888,-74762,161668,201026,-64499
163,-222067,118751,102218,-591885,-69915,149877,189108,-60631
163,-208665,111215,94807,-557021,-66212,140203,177838,-56881
163,-197768,105445,89348,-523174,-62432,128813,167057,-53400
163,-183488,96531,81345,-495275,-59136,133190,158128,-51233
212,-174706,94239,76567,-465306,-60031,118374,147958,-47564
212,-164894,88467,72360,-437261,-55076,111640,139314,-44512
212,-153640,81970,69864,-410953,-47853,104828,131371,-41957
212,-146384,77203,65810,-386421,-45116,98185,123731,-39291
212,-136635,75404,64492,-359587,-44129,74029,114534,-36470
212,-129344,70813,60451,-338674,-41562,70824,107809,-34272
212,-120150,66745,56859,-318591,-39152,66288,101374,-32079
