timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-554321,-273693,-154746,-885602,-1127854,53451,778844,-494412
66,-521454,-257231,-146972,-833220,-1061226,50845,732874,-465610
66,-492498,-241804,-137688,-783934,-997480,47743,689662,-438028
66,-461985,-229287,-129171,-738026,-914905,49916,648368,-411290
66,-436383,-215180,-121554,-694343,-870874,44949,609991,-386721
66,-409157,-201058,-114337,-652650,-843539,37237,574131,-363743
66,-386166,-189740,-106703,-614123,-780221,37777,540256,-342814
66,-363699,-177769,-100437,-577780,-746847,32866,508485,-322745
66,-340453,-163184,-95290,-541676,-772174,16386,478882,-304098
114,-321619,-151632,-88835,-508778,-759659,9654,449934,-285350
114,-305161,-144224,-83384,-479214,-691922,13684,423179,-268407
114,-283147,-141829,-79046,-453615,-552029,33014,398110,-253069
114,-265976,-133176,-74598,-426764,-523005,30320,374582,-238086
114,-249451,-124777,-69273,-400921,-497397,27682,352847,-225143
114,-236605,-116876,-64958,-376696,-477932,23538,332011,-211798
114,-223532,-115087,-59236,-356821,-366792,39504,310824,-198570
114,-210427,-107154,-55351,-334986,-360739,33113,293003,-186736
114,-197742,-98723,-52197,-314193,-373484,24137,276111,-175452
114,-186843,-91446,-54114,-295943,-376429,19184,259954,-164868
163,-175432,-85076,-47836,-277874,-370875,15242,244266,-155201
163,-164913,-81459,-44855,-261387,-322496,18528,229838,-146044
163,-153435,-70655,-42704,-243820,-407601,-3332,216408,-137328
163,-144437,-66477,-40856,-230974,-379513,-1817,203840,-129345
163,-137304,-68880,-38352,-218706,-252235,19551,191608,-121791
163,-127120,-64011,-36159,-205309,-249807,15605,180398,-114721
163,-121217,-59104,-34059,-192471,-253824,10682,169798,-107928
163,-115131,-56850,-31339,-182133,-223302,13882,159713,-101292
163,-105646,-52377,-29934,-171013,-225252,10040,150440,-95164
163,-98867,-52173,-26669,-161325,-164990,18227,140822,-89812
212,-92789,-42798,-26749,-149642,-261419,-2774,133027,-84905
212,-87839,-45315,-25058,-142610,-158617,14439,124599,-79751
212,-81833,-41640,-23391,-133792,-162133,10182,117639,-73599
212,-77253,-39068,-21659,-125686,-156496,8672,110637,-69443
212,-75902,-31569,-20074,-115587,-239663,-10172,104193,-66389
