timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-1217416,484185,478689,-3008375,-403498,641726,730579,-188296
66,-1144824,454925,446461,-2832319,-381079,607820,687937,-177772
66,-1078612,428066,420395,-2664744,-358409,570790,647117,-167006
66,-1012110,403281,386300,-2507984,-341564,539044,609222,-158273
66,-954405,379550,365775,-2359169,-320631,506020,573050,-148500
66,-899068,357488,347068,-2218707,-301490,472891,538785,-139184
66,-845521,335862,329746,-2088391,-279783,447399,506975,-130826
66,-793961,316396,310728,-1964676,-263631,419389,476852,-123077
66,-747660,296998,292311,-1848471,-248194,394704,448630,-115765
114,-703385,282896,277216,-1736750,-235811,357074,420649,-107999
114,-663077,265544,261388,-1634669,-220983,338444,396054,-101646
114,-621997,247187,242556,-1540814,-205215,333825,374428,-97455
114,-586296,232844,226927,-1449625,-193320,313469,352251,-91937
114,-554222,217634,217170,-1364279,-180608,296182,331398,-85642
114,-520809,205127,204374,-1283411,-171101,277417,311798,-80786
114,-489752,192425,189738,-1208769,-162936,263331,293431,-76545
114,-459141,181423,178469,-1136933,-153094,246749,275981,-72001
114,-433095,171353,168319,-1068793,-143961,229491,259507,-67760
114,-407352,161421,158678,-1005776,-135030,216527,244327,-64166
162,-383084,155015,151357,-943307,-128415,190432,228808,-60343
162,-359286,145525,142332,-888294,-120614,180231,215218,-56874
162,-337627,137137,135076,-834024,-112271,166884,202023,-52994
162,-318816,128923,126895,-784586,-105738,157595,190048,-50128
162,-300532,117028,123314,-743144,-100291,164610,180763,-47675
162,-283926,110312,117018,-699001,-94245,153560,169985,-44800
162,-265556,104682,102216,-657444,-86588,146017,160141,-42036
162,-250823,98766,94694,-619024,-84017,137737,150824,-40235
162,-235426,93743,87634,-582308,-82026,127243,141970,-38772
162,-223479,84081,87124,-548393,-72258,123746,133389,-35087
211,-208729,81523,81079,-515811,-65091,113865,125338,-33178
211,-196235,77185,73915,-484864,-63423,106163,117936,-31000
