timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
66,0,0,0,0,0,0,0,0
66,-599449,596416,363316,-840750,-146078,1218315,605342,-661877
66,-562830,561737,343761,-790621,-133660,1145825,569275,-622580
66,-527790,528837,323083,-743681,-126157,1077743,535674,-586154
66,-499285,496457,299686,-700869,-118652,1017552,504173,-550726
66,-469015,467556,281917,-659008,-112309,955832,474186,-517442
66,-442535,440845,266159,-619377,-106965,895876,446007,-486569
66,-414101,414286,253205,-583644,-98293,845243,419974,-459503
66,-389528,390171,238649,-548655,-93225,793318,394942,-432233
66,-368364,366508,221466,-515902,-88572,746772,371606,-406150
114,-346216,348442,212470,-483623,-94185,685914,348025,-381268
114,-324580,327347,199919,-455644,-86724,647828,327541,-358731
114,-306259,304317,185828,-431420,-70156,627601,310078,-338411
114,-286676,286603,174909,-405492,-65981,589849,291722,-318387
114,-269735,269702,166172,-381285,-62297,552511,274141,-299135
114,-253825,254055,156480,-358410,-59082,518674,257860,-281487
114,-241417,239048,146080,-337892,-61599,485102,241839,-263981
114,-226982,221658,134394,-320177,-50677,470722,228631,-249011
114,-211616,209889,126107,-300655,-49445,438522,215043,-234364
114,-198752,198933,121442,-281900,-49538,407895,202106,-219934
162,-186571,190868,117523,-262517,-46259,370503,189512,-207482
162,-176785,180195,111385,-246553,-45724,345364,177937,-195208
162,-165216,169933,104378,-232375,-47544,323762,167355,-183087
162,-156969,159405,98647,-218673,-44263,305113,157414,-172178
162,-147837,145391,90496,-209096,-29862,306327,149711,-162800
162,-139148,137148,85205,-196382,-28787,286770,140725,-153032
162,-129192,129498,81847,-185251,-27359,268567,132295,-143627
162,-122309,121325,78059,-173732,-24484,252146,124422,-135224
162,-116672,114345,74496,-162269,-23560,233747,116698,-127126
162,-109553,112015,76148,-151047,-34860,204383,108303,-118241
211,-102837,100855,56332,-146513,-22577,214623,103533,-112295
211,-95089,94284,55581,-137709,-18909,203354,97492,-105700
211,-89247,89288,54569,-128698,-18477,188488,92095,-99440
211,-85326,84297,51352,-121069,-17673,176816,86628,-93451
211,-80350,82856,51274,-111066,-23556,150242,79861,-87743
211,-74550,78436,46725,-104509,-25015,139928,75138,-82265
211,-69183,68638,41237,-101292,-12443,152105,72282,-77868
211,-65300,64619,39276,-95189,-10646,142476,67984,-73390
211,-62956,61707,37572,-89007,-10731,130498,63743,-69024
211,-60647,57887,35062,-84473,-11847,123767,60016,-63821
259,-56145,59965,36247,-75951,-22508,94102,54940,-59104
259,-51528,56586,34345,-71546,-21928,87882,51393,-55423
259,-47923,45204,24901,-74010,-5388,116708,50536,-52881
259,-44963,43600,22755,-68885,-7218,106567,47531,-49756
259,-44991,42078,28678,-62934,-3859,93781,44340,-46197
259,-42462,39654,26607,-59143,-5003,87606,41595,-43694
259,-39131,42688,23953,-53279,-19137,62150,37714,-41129
259,-35355,39960,20948,-50637,-20578,60259,35578,-38751
259,-34357,38119,20171,-47240,-20426,54614,33284,-36369
259,-33034,30086,19374,-47037,-1891,71972,32727,-34628
307,-29247,30000,18583,-43688,-5228,61704,30397,-32645
307,-28796,27501,16831,-42831,-3284,63283,29157,-31201
307,-25877,25891,16653,-40305,-3223,59238,27451,-29663
307,-25313,25184,17066,-37264,-4420,52442,25661,-27957
307,-22843,19645,11885,-38302,1862,66431,24402,-24951
307,-21916,19214,11789,-35095,314,58894,22959,-23489
307,-19339,20112,13185,-31252,-2191,46339,21718,-23212
307,-19457,19089,12211,-29420,-2482,43262,20337,-21907
307,-19088,18492,10326,-26885,-2408,39005,18799,-19669
307,-17879,19573,11000,-23916,-6934,27604,17077,-18393
364,-17916,20304,11253,-21904,-12480,15293,14961,-16461
364,-15910,14503,8707,-23724,1522,37368,16246,-16887
364,-14672,13950,8541,-22387,-198,33105,15176,-15760
364,-11734,12807,11542,-20561,2182,30063,14305,-16168
364,-12431,12419,8389,-19354,-646,27978,13404,-14988
364,-10517,12765,5406,-17955,-5798,23099,12400,-13721
364,-10345,12162,8163,-16872,-3623,19178,10585,-10546
364,-9548,7660,5546,-18049,5160,33148,11021,-10207
364,-10965,9333,4952,-15661,631,23326,10561,-10048
364,-8980,8822,4632,-15149,-491,21692,10073,-9433
412,-8015,11206,6150,-11020,-4994,5492,8077,-7768
412,-7688,13235,7522,-8425,-11101,-6611,6584,-6845
412,-7518,12571,6860,-8279,-11067,-5380,6166,-6434
412,-5336,5579,2995,-13352,1908,22733,8259,-8073
412,-6061,4828,3071,-12380,1058,20675,7702,-7307
412,-5960,5424,3281,-11389,878,17099,6907,-5665
412,-6370,5161,3088,-10559,697,16123,6471,-4890
412,-4308,5312,3044,-9650,-695,13784,6070,-4369
412,-4284,9460,5817,-7277,-7802,-4650,4606,-4277
412,-5153,10020,5017,-6322,-11078,-8502,3638,-3713
461,-4734,3709,3597,-6902,3749,13229,5338,-4939
461,-4380,2875,3187,-6183,5087,14583,5240,-4493
461,-2614,6900,5743,-2287,-4124,-4716,3504,-3272
461,-3594,7660,3909,-5358,-7637,-6647,3014,-2389
